uv_power_mw_cm2,exposure_seconds,dose_mJ_cm2,distance_cm,temp_c,initial_cfu_log,D90_mJ_cm2,spectral_410nm,spectral_435nm,spectral_500nm,spectral_560nm,spectral_585nm,spectral_630nm,target_log_reduction
0.2044,581.906,118.923,9.454,16.27,3.415,6.177,872.65,870.24,807.99,770.78,837.9,764.52,3.415
1.3716,436.715,599.008,17.319,26.59,7.368,4.073,1052.81,1016.9,999.05,949.55,960.81,993.48,7.318
0.8859,553.601,490.437,3.892,14.79,2.272,5.052,821.32,803.86,754.16,773.55,769.33,683.74,2.256
0.2529,457.446,115.668,27.737,17.9,3.211,4.671,886.5,892.34,844.89,803.49,671.48,838.43,3.135
0.9954,355.234,353.601,5.082,4.53,6.512,3.521,933.11,1034.99,974.9,831.28,788.43,869.24,6.512
0.0784,115.618,9.068,7.522,8.12,6.256,7.973,1038.31,966.69,942.78,999.62,858.88,788.63,4.313
1.8195,400.178,728.143,17.186,20.68,3.736,1.469,920.25,880.25,699.57,816.66,867.71,752.54,3.736
0.525,374.216,196.453,23.159,22.64,2.372,10.902,911.62,803.26,775.68,884.48,660.99,765.78,2.279
1.3284,361.68,480.463,18.961,19.15,7.148,7.193,1084.2,997.77,828.02,930.87,1001.16,929.22,7.148
0.6303,294.127,185.389,7.732,7.73,3.882,0.8,891.76,859.4,798.24,921.04,776.78,757.57,3.828
1.0449,317.43,331.693,1.027,15.58,3.174,4.44,867.09,792.17,788.03,715.56,724.12,688.76,3.174
1.098,200.998,220.687,22.957,13.23,5.096,4.579,996.34,904.28,861.02,735.85,862.74,852.07,5.083
0.3779,311.828,117.827,29.571,16.89,7.461,5.98,1049.91,987.35,938.21,908.83,835.23,826.55,7.34
1.9395,118.935,230.671,24.487,26.63,2.261,2.527,873.08,825.0,801.88,764.88,637.46,658.59,2.244
1.5525,483.202,750.178,14.346,24.17,6.595,5.08,1099.42,938.93,884.79,969.8,933.02,924.04,6.595
1.8796,111.873,210.277,27.209,6.18,5.435,4.697,937.32,961.21,909.91,879.79,825.79,795.59,5.435
1.7907,51.437,92.109,12.886,27.15,4.553,3.156,963.17,822.85,913.82,983.59,776.43,744.83,4.512
1.1998,262.029,314.388,16.223,16.27,6.464,2.808,1023.42,1004.52,918.65,955.0,857.38,865.08,6.418
1.8445,395.155,728.876,14.837,23.34,7.795,7.297,1108.4,1005.46,975.9,926.5,860.35,840.17,7.716
0.1861,262.911,48.928,13.981,7.64,3.375,0.8,884.96,943.48,855.0,799.55,792.25,778.25,3.344
0.4,166.414,66.567,23.481,21.44,2.862,6.195,886.99,859.59,716.12,776.69,762.77,852.43,2.793
0.1,335.124,33.513,16.276,10.14,7.477,6.994,1119.4,1030.2,1013.36,974.71,991.89,914.25,7.477
0.6574,208.528,137.088,10.185,15.4,6.014,4.454,896.7,910.07,978.7,898.0,806.3,892.85,5.942
0.7835,559.754,438.549,8.487,4.44,4.628,5.131,911.61,856.46,899.24,908.36,776.68,937.82,4.628
0.55,553.626,304.486,2.095,7.94,5.44,7.909,994.0,996.41,960.54,864.93,831.31,869.22,5.44
1.6592,301.672,500.53,17.913,6.39,6.474,3.238,1023.84,859.92,1067.01,903.83,1028.97,882.1,6.474
0.7199,197.066,141.876,7.669,10.23,6.638,3.496,1021.29,1058.12,855.97,846.31,895.69,848.88,6.638
0.5691,442.411,251.758,5.296,6.6,7.519,3.761,1047.88,1077.8,996.66,950.97,957.33,869.05,7.519
1.09,22.509,24.534,19.961,21.99,4.561,7.913,931.04,942.76,792.62,790.19,782.67,795.32,4.384
0.2904,285.124,82.811,20.755,4.76,3.76,8.231,894.27,937.57,917.69,758.31,894.1,798.37,3.676
1.6064,202.126,324.689,22.812,20.06,5.838,1.51,1020.04,975.98,906.98,646.83,889.14,784.08,5.752
0.1584,552.361,87.47,15.604,7.66,4.494,7.516,965.58,898.83,830.85,779.98,753.44,835.64,4.427
1.9739,7.696,15.191,26.928,28.57,5.568,7.047,1000.08,966.91,821.77,836.48,869.19,728.02,4.983
1.5468,331.913,513.391,28.154,28.26,4.52,8.884,943.08,872.07,903.62,790.34,822.45,796.13,4.52
0.4054,444.528,180.231,24.414,9.86,2.918,5.963,903.21,818.31,821.86,722.55,762.73,737.81,2.918
0.021,291.268,6.113,19.432,19.97,4.817,4.889,942.38,878.05,891.3,775.53,921.08,691.98,3.517
1.6328,51.699,84.413,9.808,4.73,6.146,7.863,1032.42,1020.61,980.89,1002.03,825.71,862.23,6.087
1.4166,583.491,826.6,29.505,28.23,6.796,6.747,1088.46,932.93,956.84,872.07,914.3,799.84,6.796
1.4607,311.047,454.354,8.95,17.6,4.96,10.612,1011.95,1011.57,922.89,817.77,768.75,757.51,4.959
1.5448,368.705,569.585,6.877,5.12,2.991,7.397,949.29,920.23,838.26,707.63,879.17,780.29,2.965
0.1573,142.348,22.398,13.822,12.9,4.488,5.384,909.38,923.85,758.31,777.03,882.5,694.19,4.375
0.7233,290.357,210.029,2.648,6.0,6.718,2.065,968.71,986.9,975.53,898.05,786.11,944.06,6.718
0.2406,257.775,62.015,29.376,14.22,4.477,3.548,919.41,882.8,866.41,838.84,746.22,815.4,4.477
1.7276,45.4,78.432,18.065,21.42,6.179,1.41,973.32,951.1,942.88,807.63,802.1,825.32,6.179
1.2504,64.143,80.202,17.152,16.22,5.043,4.462,912.7,862.24,817.86,861.09,821.24,710.61,4.979
0.6685,502.565,335.958,20.018,13.98,3.447,7.315,853.61,915.37,833.58,853.58,830.95,797.03,3.447
0.1365,144.272,19.69,15.414,7.1,6.777,4.991,1044.36,1013.08,922.74,1012.82,964.91,865.9,6.565
0.6289,117.377,73.813,1.93,10.37,2.505,7.554,809.4,917.14,817.75,802.39,744.24,745.01,2.505
0.6571,303.194,199.234,18.757,6.6,5.149,5.844,959.1,971.49,927.59,904.12,813.42,817.41,5.149
1.4619,461.364,674.475,21.769,24.99,3.253,3.992,929.15,870.89,864.08,807.45,814.62,701.48,3.22
1.2787,37.637,48.128,13.086,7.52,2.402,5.219,812.09,797.86,779.53,876.27,924.56,769.52,2.402
1.7756,346.296,614.868,22.962,19.48,5.018,6.18,843.74,904.31,938.07,855.18,730.03,780.03,5.018
0.9497,71.967,68.347,7.583,12.91,4.997,5.348,885.16,928.79,911.05,841.88,729.04,861.24,4.994
0.248,22.358,5.545,7.417,9.88,6.241,5.377,949.37,984.09,999.81,884.02,893.44,792.19,4.017
1.4294,32.12,45.911,5.681,20.63,6.469,3.077,1055.73,901.55,959.61,911.89,841.43,900.75,6.469
1.524,500.581,762.867,11.788,15.88,6.367,3.918,1023.35,902.74,941.44,903.0,842.68,942.36,6.367
1.1269,71.225,80.266,25.563,14.4,4.457,10.646,982.83,870.73,883.54,874.47,831.52,797.7,4.457
1.5442,27.568,42.572,25.009,19.41,5.79,8.071,928.94,876.94,835.77,900.41,784.16,923.47,5.672
0.9927,263.021,261.089,12.102,16.77,5.462,1.315,932.31,980.47,860.74,853.8,835.48,872.01,5.449
1.0502,506.474,531.918,18.084,11.89,4.529,0.8,859.2,889.98,882.72,864.31,815.1,808.04,4.529
0.8608,157.814,135.847,21.904,18.54,5.583,5.19,853.09,924.83,807.19,961.77,864.88,821.28,5.583
0.0606,253.317,15.347,7.995,21.41,7.683,7.234,1042.93,996.42,966.7,931.84,874.73,822.63,6.839
0.2247,24.434,5.49,5.876,4.69,3.157,3.7,877.49,863.45,788.36,882.61,780.14,835.22,2.491
0.0725,269.723,19.567,29.191,16.11,7.435,7.554,1063.88,980.99,961.6,965.39,869.56,938.65,6.807
1.2765,346.779,442.648,18.909,5.5,2.321,5.149,827.36,743.75,788.67,767.56,710.36,672.48,2.307
0.6356,342.759,217.847,29.461,8.85,3.85,4.592,971.5,944.46,772.81,897.58,795.24,781.17,3.825
1.0221,199.79,204.196,10.795,18.57,3.729,6.89,805.57,893.29,841.69,745.82,855.68,726.96,3.729
1.8161,189.662,344.437,21.388,26.52,5.758,3.67,996.48,961.1,871.34,841.22,779.4,864.18,5.758
0.5061,64.421,32.603,7.456,26.95,2.787,4.283,844.91,878.45,710.79,746.51,769.08,796.06,2.787
0.8267,220.396,182.193,8.575,5.82,7.294,6.675,1118.6,1099.42,941.17,848.57,917.45,754.39,7.294
1.5135,60.147,91.035,15.845,14.9,6.971,4.922,944.57,964.34,995.37,971.58,898.55,862.05,6.971
0.4653,460.074,214.076,10.269,19.16,5.912,9.772,1016.87,931.61,910.68,911.84,922.32,865.58,5.912
0.1632,579.781,94.615,5.861,7.82,4.75,6.735,935.51,938.28,880.8,824.13,766.24,791.01,4.684
0.5866,582.06,341.439,8.624,23.9,7.598,6.572,1035.7,916.4,1018.77,889.75,933.86,991.48,7.56
0.3308,519.11,171.737,2.037,23.35,6.984,4.876,1039.82,1013.34,909.04,841.23,875.45,751.79,6.984
1.8601,360.675,670.891,21.428,27.49,4.996,7.187,1011.89,913.7,887.63,851.44,859.51,898.74,4.867
1.6182,420.669,680.71,15.271,4.22,6.211,4.193,834.24,1015.62,877.98,1041.2,853.52,766.44,6.104
1.2705,171.481,217.862,3.733,9.63,5.402,5.706,948.86,906.27,877.85,861.21,819.19,703.85,5.402
1.7442,378.647,660.438,5.979,25.51,5.528,2.709,958.91,954.34,1008.0,912.67,901.41,834.16,5.528
1.6093,273.662,440.406,3.974,21.44,3.986,7.599,787.21,914.0,858.79,885.15,728.68,771.81,3.986
0.3813,289.469,110.367,18.765,27.25,4.773,5.727,912.54,924.88,903.35,805.35,751.35,822.34,4.755
1.7862,454.787,812.337,3.732,5.49,2.469,9.956,706.54,772.25,737.69,835.92,674.0,734.34,2.469
1.0833,169.51,183.629,22.874,19.52,4.144,10.981,803.47,932.87,836.9,828.37,841.67,845.15,4.144
1.6168,191.165,309.076,1.595,18.8,6.175,6.908,960.71,883.84,927.36,833.9,850.4,792.71,6.052
1.7932,554.823,994.92,8.232,4.93,7.719,5.171,1067.57,998.27,1039.84,928.23,925.65,974.43,7.719
0.6428,34.206,21.989,26.829,17.35,7.778,2.635,1011.99,1081.57,1010.74,942.9,1024.47,763.64,7.727
0.229,291.638,66.786,21.837,19.85,5.334,7.262,960.23,930.59,870.18,832.23,800.28,777.9,5.334
0.4636,547.724,253.92,3.116,8.97,5.64,5.526,924.5,984.08,875.24,903.61,734.52,898.99,5.638
0.8599,366.413,315.095,24.813,11.11,3.114,6.345,936.25,897.3,800.87,769.66,853.06,754.51,3.012
1.6378,328.071,537.331,15.298,20.65,6.172,9.324,1006.05,931.01,963.97,870.62,845.43,881.26,6.052
1.7229,150.222,258.81,25.557,16.18,2.424,2.939,847.43,812.23,842.81,692.92,657.9,717.31,2.422
0.0238,206.294,4.917,18.421,26.31,3.708,2.689,861.9,927.93,858.54,829.3,774.7,753.32,2.919
1.0264,511.303,524.795,20.773,12.9,6.01,4.409,941.04,843.16,967.7,935.03,830.49,847.22,5.969
0.8406,335.751,282.249,29.812,10.93,3.862,7.053,973.8,898.76,850.88,851.54,766.38,824.68,3.862
0.452,309.088,139.706,7.738,29.61,2.299,6.387,758.88,762.78,759.06,798.33,768.84,707.84,2.215
0.2485,60.198,14.961,19.094,27.69,6.991,2.761,889.75,934.2,1010.87,890.13,854.08,973.4,6.991
0.6819,10.109,6.893,14.349,4.75,3.862,6.891,817.16,903.64,802.25,893.69,797.22,780.46,2.537
1.8864,578.229,1090.766,2.144,24.04,2.379,1.997,898.22,882.45,726.04,758.16,696.55,866.1,2.297
0.6532,226.503,147.946,1.42,6.87,2.449,2.906,865.61,844.28,793.86,707.24,616.8,706.53,2.425
1.0424,362.126,377.478,4.458,4.71,3.511,4.711,920.73,832.63,899.45,883.29,812.96,866.99,3.511
1.409,48.289,68.04,19.824,11.12,3.068,3.616,886.1,843.99,886.23,800.28,751.09,678.32,3.068
0.7336,410.027,300.805,17.448,11.0,6.646,7.225,969.44,924.88,986.57,1041.6,859.15,903.83,6.534
1.9438,559.574,1087.725,17.049,25.3,3.93,5.716,908.36,871.21,842.73,943.91,925.09,736.33,3.919
1.9253,345.611,665.395,1.924,22.48,6.828,9.414,948.66,1002.59,946.22,1005.3,916.8,858.7,6.76
0.511,76.106,38.894,14.61,29.52,3.043,4.382,826.69,850.22,748.83,818.63,757.05,820.35,3.043
0.9995,349.242,349.076,27.814,22.5,4.957,4.694,998.51,975.25,915.81,940.37,891.86,869.9,4.957
0.6087,459.925,279.978,12.53,14.87,6.128,8.026,866.99,996.03,853.07,842.98,983.92,909.38,6.103
0.5768,244.147,140.832,19.123,22.17,5.912,4.773,984.89,944.82,877.38,873.15,756.68,872.11,5.912
0.0834,527.963,44.035,23.615,29.99,5.607,8.735,1050.42,914.84,923.08,1079.78,840.5,863.17,5.466
1.223,389.385,476.231,23.734,22.46,7.549,6.352,1060.53,1189.8,920.56,872.08,1026.34,861.78,7.489
1.0103,539.6,545.174,16.059,23.8,3.371,0.8,882.7,881.9,815.27,784.62,823.77,707.02,3.371
0.1124,374.291,42.086,25.881,28.4,4.962,7.944,936.33,936.14,863.17,839.58,884.47,810.2,4.942
0.5645,79.207,44.713,12.35,6.95,7.304,7.282,1005.49,1105.45,1063.34,992.03,874.31,735.26,7.304
1.8174,186.16,338.337,26.772,22.32,2.467,7.378,758.22,866.4,733.91,813.98,705.41,742.52,2.467
0.4867,121.476,59.126,7.967,26.12,2.335,0.8,848.77,782.22,836.03,801.76,868.88,779.79,2.335
0.2983,545.341,162.698,9.126,28.81,3.4,3.343,884.44,968.38,787.91,826.89,777.84,800.32,3.24
0.984,456.36,449.063,2.54,9.49,5.798,3.528,969.66,958.43,816.22,913.61,938.08,790.66,5.783
1.9714,406.001,800.408,24.072,17.1,3.559,2.897,899.75,833.36,858.93,845.29,855.67,611.96,3.559
0.4917,180.929,88.961,13.095,21.69,3.141,9.355,846.8,915.82,805.7,767.88,822.83,771.72,3.141
1.3475,110.835,149.355,7.644,10.43,4.753,4.971,901.37,896.52,882.4,767.96,855.75,750.12,4.753
1.5256,453.992,692.621,7.722,19.61,5.682,4.909,1031.06,976.1,984.93,904.82,887.6,704.58,5.681
0.4829,284.758,137.509,27.141,10.7,3.491,6.38,891.65,916.13,859.79,812.06,799.99,841.66,3.448
1.4592,135.861,198.241,25.184,12.67,3.804,6.423,956.63,861.25,842.33,854.35,776.2,718.52,3.722
0.7419,370.165,274.621,17.052,15.48,5.681,0.8,981.33,956.07,940.77,945.87,916.33,836.4,5.594
1.2683,24.68,31.302,18.867,17.76,7.674,3.384,1085.68,1043.16,1040.88,896.54,852.3,1018.94,7.674
1.2707,196.039,249.112,14.755,15.68,6.048,1.468,910.1,955.62,845.76,871.87,861.26,773.12,6.048
1.0762,281.4,302.84,12.358,16.82,6.697,6.001,1041.0,937.63,959.4,877.28,980.33,795.7,6.692
0.1897,89.201,16.919,27.549,11.76,4.201,4.278,907.92,942.85,792.92,883.61,693.87,845.14,4.161
1.6723,590.8,987.967,4.643,8.13,3.634,5.038,862.73,882.63,821.86,838.72,838.37,765.91,3.634
0.6484,125.854,81.598,13.135,5.23,4.726,0.8,938.27,917.35,902.51,855.75,818.4,749.5,4.726
0.3812,78.647,29.978,10.992,9.1,6.843,4.225,995.08,971.64,997.97,865.49,957.91,885.18,6.843
0.0911,122.519,11.167,15.446,19.13,4.738,7.788,1035.36,896.09,782.89,907.91,969.23,854.42,3.523
1.1859,461.552,547.344,14.271,24.44,7.08,8.524,1072.12,885.31,954.48,966.94,961.13,947.2,7.08
1.3584,255.591,347.182,16.048,8.4,7.933,6.797,1100.6,1046.9,940.19,938.47,908.47,869.68,7.799
0.043,339.467,14.6,5.058,6.82,2.432,1.661,896.0,860.81,811.05,787.71,695.96,760.15,2.432
1.0291,13.095,13.476,15.881,23.48,2.272,8.149,883.51,916.85,883.04,803.09,785.37,751.34,1.886
0.4607,21.142,9.74,8.03,11.93,2.898,6.81,828.67,883.59,819.14,806.68,858.63,749.48,2.099
1.2939,267.772,346.469,6.346,28.74,4.306,4.707,821.62,975.49,808.48,940.49,830.56,757.57,4.273
0.357,490.085,174.955,2.88,22.57,2.786,0.8,853.56,816.17,866.98,814.16,810.62,818.36,2.786
1.385,531.201,735.695,23.117,12.5,7.224,7.384,1012.4,994.7,968.0,855.59,916.01,830.76,7.224
0.7796,52.481,40.914,13.396,11.53,2.139,3.52,852.52,771.44,797.07,773.98,774.47,786.15,2.117
1.8741,323.249,605.798,19.173,17.62,3.895,5.865,907.85,962.04,797.38,817.32,843.97,702.98,3.801
0.2837,547.981,155.444,22.1,6.06,3.108,5.171,806.13,784.87,814.98,760.33,605.37,651.36,3.104
0.6887,233.09,160.534,20.7,7.06,7.589,8.846,1021.37,965.68,980.31,963.74,925.39,930.14,7.457
0.2358,497.825,117.393,14.645,8.57,6.017,4.687,1067.34,1013.56,860.05,801.54,759.49,1016.97,5.998
1.8501,80.651,149.215,12.249,24.14,7.472,4.962,907.78,990.07,1009.31,1021.13,907.27,918.62,7.437
1.7559,561.269,985.535,11.903,17.36,7.834,8.947,1084.41,984.34,956.04,988.33,863.01,890.09,7.823
0.5233,450.978,235.999,19.561,4.27,4.983,3.354,969.55,959.47,880.55,729.15,750.14,934.03,4.938
1.3234,564.83,747.478,15.349,21.51,3.406,7.036,1014.6,932.53,788.2,816.06,840.75,757.17,3.285
1.6363,406.132,664.543,25.625,15.02,3.162,4.503,857.43,960.72,858.46,744.32,820.64,620.35,3.133
1.1148,218.361,243.439,26.366,17.28,3.338,2.494,978.27,852.51,817.2,863.73,777.46,834.51,3.338
1.064,562.94,598.97,5.946,9.57,6.252,5.003,1031.56,960.97,949.37,837.28,998.79,921.4,6.252
0.4913,165.702,81.407,4.951,18.35,2.243,6.729,851.43,818.13,694.87,793.91,803.62,764.06,2.243
0.1953,199.637,38.984,19.282,29.46,2.308,8.384,939.17,902.6,769.27,823.55,749.33,741.08,2.308
1.7955,420.635,755.232,9.736,5.91,5.649,8.687,923.27,944.35,851.79,864.25,769.65,796.54,5.553
1.8018,459.307,827.594,1.539,11.38,5.852,4.263,972.16,956.69,955.14,954.62,839.84,851.29,5.82
1.2699,557.677,708.179,26.771,10.32,5.992,2.532,965.56,949.89,926.44,884.76,867.95,863.68,5.99
0.6847,123.279,84.405,7.58,10.46,4.231,4.203,880.34,983.29,842.58,909.93,750.21,805.94,4.224
0.7049,478.9,337.589,27.949,13.85,6.836,2.046,1045.75,922.52,897.4,1051.47,910.59,854.51,6.836
1.4547,443.258,644.787,21.806,25.27,5.202,4.457,925.59,960.91,870.26,909.4,799.73,598.07,5.202
1.7952,38.745,69.557,23.117,27.73,2.633,4.146,807.56,827.86,725.82,808.26,811.32,749.02,2.546
1.7753,232.64,413.007,6.842,9.26,6.783,6.819,1072.92,1073.55,897.02,875.02,813.25,787.5,6.726
1.562,170.018,265.56,7.792,18.12,7.718,0.8,1103.94,1002.6,943.39,1063.69,887.21,922.51,7.718
1.2876,183.042,235.693,16.117,20.56,2.36,3.166,792.54,856.72,748.83,763.53,805.06,823.75,2.311
0.1774,589.777,104.649,5.991,17.57,4.348,3.186,1012.84,905.67,904.12,810.86,826.3,836.25,4.348
0.3316,385.845,127.962,9.858,15.29,4.925,7.968,917.07,894.96,912.82,940.78,864.76,729.55,4.925
1.7981,430.747,774.536,10.322,8.99,2.879,2.215,877.61,787.4,814.49,807.67,768.64,694.84,2.879
1.2168,585.982,713.02,5.629,16.69,7.206,5.567,1088.62,934.11,1039.81,991.0,816.85,860.63,7.206
0.0283,226.632,6.414,6.95,14.43,3.705,4.68,940.52,899.61,895.75,789.51,807.21,831.83,2.839
0.2119,481.203,101.981,23.868,24.68,6.698,7.608,1005.85,908.25,1021.85,874.86,855.02,919.7,6.627
1.3304,261.001,347.228,5.849,23.85,6.026,6.49,1007.72,945.77,915.0,852.45,866.12,868.36,5.986
0.0201,521.785,10.474,1.825,7.48,5.588,5.303,1012.39,905.45,886.4,858.93,803.39,796.2,4.856
0.33,108.804,35.906,19.251,6.3,3.153,3.613,873.79,776.16,808.01,788.93,772.63,832.6,2.987
1.102,568.638,626.628,29.304,27.61,3.324,0.8,929.88,825.28,825.02,813.01,788.17,757.18,3.324
1.3869,131.654,182.587,10.605,17.92,2.284,5.618,837.93,817.42,744.52,732.88,799.53,701.58,2.284
1.3074,196.069,256.341,4.441,26.3,3.444,6.326,810.81,826.52,848.03,751.29,791.27,760.85,3.444
0.4563,453.837,207.084,17.541,5.51,4.073,1.063,892.48,959.89,850.26,863.91,653.84,697.42,3.942
1.4272,236.556,337.622,27.284,17.69,6.999,1.916,951.77,1070.15,933.83,852.53,863.99,959.54,6.896
0.4821,365.123,176.035,23.738,18.03,4.198,5.631,943.92,852.13,942.58,772.7,822.28,766.7,4.166
0.6575,267.022,175.579,19.053,26.38,6.528,5.848,1031.05,932.79,884.24,910.3,974.33,783.17,6.528
1.4955,445.551,666.329,10.137,6.54,4.637,2.523,861.13,776.25,904.43,794.8,868.81,862.51,4.471
1.3028,137.385,178.98,16.715,10.25,6.709,3.565,973.32,982.45,1003.67,890.61,930.5,935.33,6.709
1.7,35.546,60.426,3.646,14.57,7.858,0.8,1078.02,992.71,958.95,904.93,978.55,753.87,7.829
1.3186,180.308,237.763,20.689,26.51,3.439,8.443,849.64,862.84,882.17,890.44,803.69,871.96,3.421
1.1409,284.848,324.993,22.028,28.41,7.174,1.75,1068.36,954.84,1027.47,930.04,865.03,1053.81,7.174
0.1964,101.228,19.882,28.986,29.81,5.731,6.356,996.18,939.54,894.86,882.84,892.81,830.75,5.502
0.7418,213.201,158.143,8.552,28.94,6.904,4.913,1093.78,953.97,958.58,875.72,1023.58,882.35,6.847
0.5378,240.29,129.217,1.535,4.15,5.91,8.224,994.45,838.8,905.06,905.95,840.27,1031.43,5.91
0.4955,34.906,17.298,16.823,5.24,4.544,3.019,1008.41,901.6,915.39,864.57,858.91,753.87,4.343
1.9463,350.193,681.577,21.497,7.84,3.368,5.153,830.99,955.82,834.86,782.14,714.04,715.52,3.332
0.7923,530.664,420.426,23.922,13.07,2.42,0.8,831.4,888.86,873.68,787.57,830.44,752.9,2.42
1.7852,91.47,163.29,6.618,25.58,5.213,0.8,901.31,913.59,962.5,885.75,818.24,884.65,5.186
1.266,358.886,454.337,8.591,27.21,7.942,6.491,994.24,1014.86,943.3,1004.09,920.59,906.17,7.796
1.5917,399.011,635.096,15.865,8.86,6.428,0.8,929.63,998.83,959.47,812.91,820.29,809.47,6.428
1.0102,251.891,254.472,10.587,20.11,3.964,4.429,894.79,958.93,797.57,769.64,826.18,831.93,3.864
1.158,420.808,487.312,25.955,27.85,6.963,7.528,987.46,986.76,977.0,910.06,887.42,856.21,6.958
0.9901,246.734,244.293,14.739,16.06,6.614,6.867,1054.75,938.11,889.17,970.09,818.22,821.12,6.614
0.3985,303.03,120.768,24.188,6.69,3.69,3.339,962.73,868.45,915.07,884.19,810.51,841.68,3.69
1.4477,4.908,7.105,17.838,15.9,2.086,1.029,886.18,776.17,872.59,790.36,724.01,808.26,2.086
0.5687,415.186,236.132,23.42,13.77,2.709,6.274,920.71,893.87,802.68,770.83,821.62,750.69,2.705
0.0584,396.975,23.179,10.648,19.02,7.264,8.356,1009.07,990.0,931.42,935.17,834.08,902.01,6.845
1.2945,23.521,30.448,25.111,15.41,7.019,3.344,1056.75,916.24,964.34,1038.97,904.96,938.25,7.014
